frame,solidity,non_compactness,circularity,eccentricity,area
0,0.948112,1.448127,0.690547,0.855995,3088.0
1,0.939763,1.433385,0.697649,0.855920,3089.0
2,0.940422,1.432594,0.698034,0.857110,3078.0
3,0.933222,1.479500,0.675904,0.864221,3067.5
4,0.960178,1.399356,0.714614,0.862619,3122.5
5,0.957757,1.411528,0.708452,0.861520,3117.5
6,0.956630,1.389534,0.719666,0.853619,3275.5
7,0.957097,1.445348,0.691875,0.854467,3290.5
8,0.952732,1.443258,0.692877,0.849230,3356.0
9,0.951695,1.429702,0.699447,0.850015,3369.0
10,0.962452,1.426384,0.701073,0.852215,3383.5
11,0.956667,1.450690,0.689327,0.851118,3433.0
12,0.963123,1.441955,0.693503,0.849517,3460.5
13,0.954184,1.490097,0.671097,0.853036,3415.5
14,0.959195,1.445681,0.691715,0.848916,3455.5
15,0.961701,1.450897,0.689229,0.847220,3528.0
16,0.959663,1.467836,0.681275,0.844818,3533.0
17,0.956480,1.472920,0.678923,0.847618,3527.5
18,0.953522,1.464056,0.683034,0.848811,3641.5
19,0.955690,1.461926,0.684029,0.849253,3623.5
20,0.956625,1.476738,0.677168,0.851363,3617.0
21,0.962482,1.436643,0.696067,0.854384,3591.5
22,0.957589,1.473034,0.678871,0.855024,3646.5
23,0.957500,1.456726,0.686471,0.853485,3661.0
24,0.952055,1.471762,0.679458,0.862591,3614.0
25,0.947974,1.470788,0.679908,0.862180,3626.0
26,0.959249,1.459746,0.685051,0.866548,3578.0
27,0.959156,1.476437,0.677306,0.868552,3593.0
28,0.952641,1.479006,0.676130,0.875053,3570.5
29,0.954582,1.481542,0.674972,0.872639,3541.5
30,0.941534,1.506347,0.663858,0.874588,3567.0
31,0.946121,1.483197,0.674219,0.874930,3512.0
32,0.937058,1.520728,0.657580,0.881017,3513.5
33,0.946299,1.515840,0.659700,0.881472,3515.5
34,0.952858,1.502677,0.665479,0.884444,3517.0
35,0.948882,1.525346,0.655589,0.887717,3480.5
36,0.942588,1.519331,0.658185,0.885405,3497.0
37,0.949761,1.520494,0.657681,0.889142,3478.5
38,0.930719,1.543122,0.648037,0.887636,3405.5
39,0.923378,1.579467,0.633125,0.892458,3422.5
40,0.920284,1.555972,0.642685,0.893272,3371.0
41,0.920671,1.569539,0.637130,0.894430,3400.5
42,0.922931,1.567761,0.637852,0.894554,3407.0
43,0.912475,1.559105,0.641394,0.893316,3419.5
44,0.921081,1.553158,0.643850,0.896089,3408.0
45,0.931077,1.545958,0.646848,0.895121,3411.0
46,0.914508,1.564534,0.639168,0.893757,3460.5
47,0.926057,1.557846,0.641912,0.895289,3394.0
48,0.921971,1.571330,0.636404,0.894476,3367.5
49,0.925952,1.566622,0.638316,0.900114,3282.5
50,0.923381,1.554212,0.643413,0.896612,3272.0
